土豆:n,fd:1777511
苹果:n,fd:1143881
蛋糕:n,fd:815478
牛奶:n,fd:708129
面包:n,fd:593637
豆腐:n,fd:511649
萝卜:n,fd:494881
巧克力:n,fd:373599
点心:n,fd:345920
火锅:n,fd:324863
海鲜:n,fd:309902
葡萄酒:n,fd:298849
包子:n,fd:288537
馒头:n,fd:245498
羊肉:n,fd:242351
柠檬:n,fd:216416
香蕉:n,fd:213220
淀粉:n,fd:207643
酱油:n,fd:169116
核桃:n,fd:166694
饮用水:n,fd:164027
鸳鸯:n,fd:159379
青团:n,fd:157219
米饭:n,fd:154542
酸奶:n,fd:153794
豆浆:n,fd:149318
白糖:n,fd:148447
方便面:n,fd:147895
可口可乐:n,fd:147493
乙醇:n,fd:145895
红柿:n,fd:145302
普洱茶:n,fd:143106
西红柿:n,fd:142633
茅台:n,fd:138697
鱼类:n,fd:137579
磷酸:n,fd:131081
托盘:n,fd:128371
青梅:n,fd:127492
丁香:n,fd:125472s
沙拉:n,fd:121544
奶油:n,fd:115847
石膏:n,fd:114616
石榴:n,fd:113867
豆油:n,fd:112470
奶酪:n,fd:110257
青菜:n,fd:110184
奶茶:n,fd:109759
肉眼:n,fd:107745
木耳:n,fd:107136
铁板:n,fd:105443
生姜:n,fd:102878
黄豆:n,fd:102012
三七:n,fd:101601
烤肉:n,fd:101498
大肉:n,fd:100457
洋葱:n,fd:94307
娃哈哈:n,fd:92268
香菇:n,fd:90300
松花:n,fd:89074
川菜:n,fd:88350
海带:n,fd:86704
五粮液:n,fd:85600
鱿鱼:n,fd:80989
山药:n,fd:80972
聚乙烯:n,fd:80610
橄榄油:n,fd:78094
冬瓜:n,fd:77776
果后:n,fd:76813
韭菜:n,fd:73374
纯净水:n,fd:72812
狗肉:n,fd:71864
甘露:n,fd:70746
冰点:n,fd:69573
豆芽:n,fd:69507
释迦:n,fd:68944
比萨:n,fd:67765
糖水:n,fd:67043
胡萝卜素:n,fd:65636
香草:n,fd:65497
藏宝:n,fd:65341
泡菜:n,fd:65243
铁观音:n,fd:63823
鱼头:n,fd:62089
鲜奶:n,fd:61845
盐酸:n,fd:61337
油条:n,fd:60357
叶酸:n,fd:60269
虾米:n,fd:59446
防腐剂:n,fd:58724
稻谷:n,fd:58325
粤菜:n,fd:56098
磷脂:n,fd:56076
健力:n,fd:55428
香肠:n,fd:54730
桔子:n,fd:53939
烟熏:n,fd:53502
花生油:n,fd:53311
康师傅:n,fd:52243
健力宝:n,fd:51986
香菜:n,fd:51824
鸡尾酒:n,fd:50476
全聚德:n,fd:50028
咖啡因:n,fd:49733
劲风:n,fd:49128
二氧化硫:n,fd:48550
猪肝:n,fd:48176
馄饨:n,fd:47850
威士忌:n,fd:47814
冷面:n,fd:46887
面皮:n,fd:45060
烧肉:n,fd:44694
咖喱:n,fd:44292
山鸡:n,fd:43818
紫菜:n,fd:43488
百事可乐:n,fd:42999
米线:n,fd:42854
黄油:n,fd:42522
米粥:n,fd:42118
乌龙茶:n,fd:40948
烤箱:n,fd:40543
猕猴桃:n,fd:40357
家常菜:n,fd:40327
果肉:n,fd:40084
